epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.511,1.64584,2.41312,1.71118,0.43279,0.34122,0.33981,0.18069,1.83005,2.52747,1.95237,0.00333208,0.00333208,0.0700112
2,554.841,1.57888,2.16837,1.66729,0.62031,0.40162,0.43049,0.2377,1.64804,1.93511,1.78801,0.00662143,0.00662143,0.0399673
3,817.972,1.4921,1.96785,1.59982,0.54878,0.4948,0.52141,0.30422,1.50233,1.63971,1.6266,0.00986677,0.00986677,0.00987927
4,1075.32,1.41627,1.81189,1.54268,0.61344,0.53109,0.57069,0.34496,1.39697,1.45247,1.54143,0.009802,0.009802,0.009802
5,1339.1,1.36872,1.69734,1.50458,0.64999,0.586,0.60627,0.37136,1.34178,1.35114,1.49717,0.009736,0.009736,0.009736
6,1613.66,1.33046,1.61508,1.47428,0.65627,0.59863,0.62444,0.3933,1.30101,1.28414,1.46096,0.00967,0.00967,0.00967
7,1950.44,1.30262,1.55734,1.4512,0.67456,0.61137,0.65098,0.4155,1.26641,1.22432,1.42633,0.009604,0.009604,0.009604
8,2249.79,1.28197,1.49889,1.43365,0.69634,0.62992,0.67102,0.42789,1.23788,1.17031,1.39841,0.009538,0.009538,0.009538
9,2540.86,1.26712,1.46169,1.42194,0.69524,0.65483,0.66937,0.4326,1.21532,1.13208,1.3813,0.009472,0.009472,0.009472
10,2833.18,1.24428,1.42175,1.40267,0.66627,0.6459,0.67951,0.44178,1.19895,1.09612,1.35943,0.009406,0.009406,0.009406
11,3129.99,1.23788,1.39718,1.39601,0.70381,0.66404,0.69736,0.45526,1.188,1.07205,1.34748,0.00934,0.00934,0.00934
12,3424.07,1.22177,1.36189,1.38157,0.72726,0.66512,0.7066,0.46378,1.17123,1.04743,1.33175,0.009274,0.009274,0.009274
13,3745.45,1.21132,1.33759,1.37316,0.72061,0.67951,0.71766,0.47345,1.15584,1.02209,1.31861,0.009208,0.009208,0.009208
14,4030.05,1.20051,1.30999,1.3638,0.71736,0.67877,0.72445,0.47765,1.14468,1.01231,1.308,0.009142,0.009142,0.009142
15,4287.96,1.18613,1.29164,1.35492,0.73744,0.68115,0.73077,0.48615,1.1359,0.99672,1.29809,0.009076,0.009076,0.009076
16,4547.44,1.17983,1.27619,1.35053,0.74022,0.69207,0.73739,0.48926,1.13001,0.98138,1.2928,0.00901,0.00901,0.00901
17,4805.02,1.17354,1.26058,1.34361,0.75144,0.6894,0.74072,0.49345,1.12189,0.97006,1.28501,0.008944,0.008944,0.008944
18,5061.3,1.16495,1.24582,1.33667,0.7501,0.70285,0.74377,0.49804,1.11469,0.96256,1.27926,0.008878,0.008878,0.008878
19,5321.41,1.16407,1.23479,1.33367,0.75752,0.70209,0.74849,0.50195,1.11037,0.95346,1.27475,0.008812,0.008812,0.008812
20,5577.56,1.15311,1.21438,1.32691,0.76476,0.70017,0.7509,0.50495,1.10566,0.9456,1.27113,0.008746,0.008746,0.008746
21,5832.97,1.14438,1.20092,1.32071,0.76125,0.70449,0.75391,0.50766,1.10045,0.93996,1.2661,0.00868,0.00868,0.00868
22,6089.62,1.14805,1.20135,1.32008,0.76491,0.70836,0.75671,0.50924,1.09582,0.93516,1.2621,0.008614,0.008614,0.008614
23,6347.15,1.13447,1.1889,1.31191,0.76865,0.70525,0.75829,0.5118,1.09255,0.93113,1.25941,0.008548,0.008548,0.008548
24,6602.67,1.13208,1.1787,1.31001,0.76904,0.70814,0.76067,0.51337,1.08969,0.92688,1.25735,0.008482,0.008482,0.008482
25,6859.79,1.13126,1.17209,1.30938,0.76668,0.71404,0.76265,0.51539,1.08698,0.92208,1.25543,0.008416,0.008416,0.008416
26,7117.71,1.12505,1.15781,1.30323,0.76798,0.71215,0.76301,0.51705,1.08464,0.91912,1.25337,0.00835,0.00835,0.00835
27,7373.37,1.12276,1.15346,1.30166,0.77027,0.71312,0.76401,0.51777,1.08286,0.91661,1.25183,0.008284,0.008284,0.008284
28,7628.8,1.11534,1.14411,1.29598,0.77077,0.71346,0.76534,0.5192,1.08133,0.91421,1.2503,0.008218,0.008218,0.008218
29,7885.84,1.1141,1.13344,1.2932,0.77077,0.71593,0.76667,0.51931,1.0798,0.91175,1.24868,0.008152,0.008152,0.008152
30,8139.53,1.11005,1.12628,1.29041,0.77596,0.71481,0.76835,0.52114,1.07737,0.90935,1.24696,0.008086,0.008086,0.008086
31,8393.98,1.10854,1.11819,1.28908,0.78077,0.71268,0.76973,0.52312,1.07573,0.90711,1.24545,0.00802,0.00802,0.00802
32,8649.67,1.10367,1.12036,1.28605,0.78567,0.71206,0.77128,0.52442,1.07452,0.90547,1.24443,0.007954,0.007954,0.007954
33,8909.53,1.1025,1.10719,1.28445,0.78853,0.71315,0.77272,0.52625,1.07335,0.90394,1.24334,0.007888,0.007888,0.007888
34,9165.06,1.09785,1.10541,1.28102,0.79103,0.71487,0.77397,0.52778,1.07201,0.90285,1.2424,0.007822,0.007822,0.007822
35,9421.01,1.09334,1.09783,1.278,0.78847,0.71733,0.77514,0.5292,1.0707,0.90166,1.24115,0.007756,0.007756,0.007756
36,9676.34,1.09111,1.09319,1.27749,0.79038,0.71738,0.77656,0.53056,1.06946,0.9002,1.23978,0.00769,0.00769,0.00769
37,9930.77,1.09178,1.08822,1.27699,0.79,0.71862,0.77769,0.53179,1.06771,0.89915,1.23803,0.007624,0.007624,0.007624
38,10185.1,1.09088,1.08425,1.2748,0.79433,0.7186,0.77914,0.53349,1.06622,0.89756,1.23701,0.007558,0.007558,0.007558
39,10441.7,1.08445,1.07833,1.27152,0.79446,0.71928,0.7798,0.53406,1.06462,0.8964,1.23578,0.007492,0.007492,0.007492
40,10700.6,1.07805,1.07095,1.26569,0.79611,0.7219,0.78097,0.53578,1.06287,0.89524,1.23416,0.007426,0.007426,0.007426
41,10955.6,1.07633,1.06555,1.26555,0.79489,0.72347,0.78212,0.53712,1.06115,0.89337,1.2327,0.00736,0.00736,0.00736
42,11211,1.07686,1.06193,1.26173,0.7971,0.72461,0.78382,0.53816,1.05973,0.89166,1.23125,0.007294,0.007294,0.007294
43,11467.9,1.07271,1.05108,1.26082,0.80034,0.72554,0.78517,0.53917,1.058,0.88972,1.22971,0.007228,0.007228,0.007228
44,11762.3,1.06879,1.05654,1.25967,0.80065,0.72766,0.78615,0.54042,1.05623,0.88788,1.22799,0.007162,0.007162,0.007162
45,12043.4,1.06436,1.04523,1.25765,0.8033,0.72859,0.78718,0.54214,1.05457,0.88575,1.22652,0.007096,0.007096,0.007096
46,12380.6,1.06414,1.04537,1.25451,0.8029,0.73051,0.78841,0.54314,1.05323,0.88375,1.22503,0.00703,0.00703,0.00703
47,12636.7,1.06853,1.03811,1.25679,0.80853,0.72812,0.7898,0.54446,1.05181,0.88192,1.22355,0.006964,0.006964,0.006964
48,12981.8,1.06263,1.03541,1.25226,0.8122,0.72811,0.7904,0.54534,1.05018,0.88008,1.22216,0.006898,0.006898,0.006898
49,13362.8,1.06279,1.03489,1.25325,0.81315,0.72933,0.79142,0.54645,1.04887,0.8777,1.221,0.006832,0.006832,0.006832
50,13751.9,1.05893,1.02754,1.24962,0.81447,0.7289,0.79282,0.54725,1.04732,0.87567,1.21959,0.006766,0.006766,0.006766
51,14135.6,1.05738,1.02797,1.24826,0.81757,0.72641,0.79367,0.54819,1.04546,0.87377,1.2178,0.0067,0.0067,0.0067
52,14525.9,1.05261,1.02132,1.24517,0.82085,0.72601,0.79389,0.54916,1.04373,0.87168,1.21635,0.006634,0.006634,0.006634
